Sexo,Altura(m),Peso(kg)
M,1.71,79.7
M,1.82,96.4
M,1.64,75.7
M,1.73,89.1
M,1.7,75.0
M,1.7,80.1
M,1.72,79.2
M,1.76,88.6
M,1.78,93.3
M,1.65,71.8
M,1.72,76.7
M,1.61,61.5
M,1.82,99.0
M,1.69,70.7
M,1.83,91.4
M,1.93,107.0
M,1.82,88.6
M,1.71,80.1
M,1.79,90.0
M,1.77,84.2
M,1.73,80.4
M,1.88,97.9
M,1.76,84.8
M,1.69,77.8
M,1.69,78.4
M,1.71,76.3
M,1.75,74.3
M,1.8,86.2
M,1.66,71.2
M,1.66,78.3
M,1.72,76.7
M,1.87,104.9
M,1.82,94.0
M,1.72,78.1
M,1.73,90.6
M,1.67,76.2
M,1.82,89.7
M,1.76,89.3
M,1.74,81.7
M,1.8,85.8
M,1.62,71.9
M,1.81,94.8
M,1.68,84.9
M,1.65,71.5
M,1.73,82.4
M,1.8,92.9
M,1.89,104.8
M,1.76,84.5
M,1.65,82.1
M,1.74,90.2
M,1.8,92.2
M,1.56,73.0
M,1.74,86.1
M,1.83,90.8
M,1.84,100.6
M,1.81,97.1
M,1.84,91.5
M,1.72,84.9
M,1.84,89.1
M,1.59,68.8
M,1.68,75.9
M,1.77,90.2
M,1.76,81.1
M,1.8,87.8
M,1.75,89.7
M,1.68,83.7
M,1.69,70.4
M,1.69,73.0
M,1.73,85.8
M,1.79,78.5
M,1.76,88.9
M,1.8,97.9
M,1.66,75.6
M,1.9,108.6
M,1.81,83.6
M,1.76,90.7
M,1.78,86.8
M,1.64,76.7
M,1.72,88.3
M,1.72,83.1
M,1.9,95.4
M,1.81,89.8
M,1.7,78.3
M,1.77,89.4
M,1.74,86.4
M,1.73,83.7
M,1.74,81.6
M,1.66,72.3
M,1.78,89.8
M,1.81,98.6
M,1.74,85.2
M,1.66,80.2
M,1.72,84.0
M,1.89,101.3
M,1.81,93.9
M,1.71,77.6
M,1.72,79.5
M,1.71,78.6
M,1.75,82.2
M,1.82,91.9
M,1.76,90.7
M,1.87,101.4
M,1.76,99.5
M,1.8,95.8
M,1.82,91.1
M,1.76,94.7
M,1.66,73.2
M,1.8,94.3
M,1.74,82.0
M,1.74,80.2
M,1.76,88.3
M,1.67,73.9
M,1.74,78.6
M,1.88,97.8
M,1.81,95.3
M,1.69,83.9
M,1.82,85.3
M,1.77,85.4
M,1.7,81.4
M,1.77,96.0
M,1.79,89.7
M,1.75,84.5
M,1.64,75.3
M,1.8,85.6
M,1.64,73.2
M,1.77,87.8
M,1.82,85.9
M,1.74,94.2
M,1.8,90.4
M,1.81,95.2
M,1.76,81.7
M,1.83,89.0
M,1.76,85.9
M,1.68,75.1
M,1.71,82.7
M,1.8,86.0
M,1.76,86.0
M,1.71,77.2
M,1.85,98.0
M,1.79,80.3
M,1.75,88.9
M,1.7,76.1
M,1.76,81.5
M,1.86,100.1
M,1.71,74.5
M,1.65,71.0
M,1.72,83.3
M,1.72,77.2
M,1.69,76.5
M,1.85,95.1
M,1.77,88.6
M,1.8,88.1
M,1.78,99.5
M,1.82,93.1
M,1.72,81.1
M,1.73,82.4
M,1.74,92.3
M,1.75,74.9
M,1.75,89.8
M,1.71,78.6
M,1.75,83.4
M,1.67,63.3
M,1.64,72.7
M,1.68,74.2
M,1.7,88.0
M,1.7,86.1
M,1.8,83.6
M,1.74,86.5
M,1.72,85.4
M,1.92,102.6
M,1.79,89.8
M,1.75,86.4
M,1.73,79.9
M,1.65,80.6
M,1.67,78.8
M,1.76,95.5
M,1.67,77.2
M,1.72,78.7
M,1.76,83.9
M,1.73,88.1
M,1.57,67.7
M,1.71,87.3
M,1.72,81.5
M,1.78,92.0
M,1.66,74.1
M,1.83,98.4
M,1.68,83.1
M,1.67,75.6
M,1.85,93.1
M,1.8,86.0
M,1.81,99.1
M,1.8,92.1
M,1.57,63.5
M,1.75,89.0
M,1.72,81.6
M,1.71,74.5
M,1.67,76.3
M,1.74,86.1
M,1.77,88.5
M,1.69,86.4
M,1.77,92.7
M,1.74,89.0
M,1.82,95.1
M,1.77,86.6
M,1.8,89.8
M,1.73,84.7
M,1.79,85.6
M,1.82,80.0
M,1.85,95.0
M,1.54,61.8
M,1.75,86.6
M,1.76,86.8
M,1.72,83.9
M,1.93,105.4
M,1.83,91.5
M,1.75,85.4
M,1.66,79.2
M,1.67,83.4
M,1.79,85.1
M,1.86,97.0
M,1.74,79.5
M,1.74,76.9
M,1.62,65.6
M,1.71,79.7
M,1.8,89.4
M,1.87,101.1
M,1.68,75.0
M,1.72,77.3
M,1.81,98.3
M,1.7,78.8
M,1.86,98.8
M,1.62,73.0
M,1.76,87.9
M,1.77,80.3
M,1.79,92.9
M,1.75,80.2
M,1.74,87.4
M,1.68,75.7
M,1.76,84.7
M,1.75,85.5
M,1.87,94.5
M,1.68,73.3
M,1.87,97.5
M,1.77,93.0
M,1.69,83.1
M,1.85,94.8
M,1.73,94.3
M,1.83,95.6
M,1.8,92.7
M,1.7,88.5
M,1.74,86.5
M,1.81,90.6
M,1.65,75.7
M,1.7,81.1
M,1.75,84.3
M,1.75,87.9
M,1.81,103.8
M,1.75,87.2
M,1.69,79.8
M,1.74,79.9
M,1.71,80.5
M,1.81,91.5
M,1.74,80.2
M,1.77,84.2
M,1.77,85.3
M,1.84,85.9
M,1.66,75.3
M,1.68,77.2
M,1.78,96.5
M,1.81,89.0
M,1.78,91.8
M,1.81,91.3
M,1.64,71.9
M,1.75,79.1
M,1.74,83.4
M,1.76,85.3
M,1.76,79.9
M,1.77,88.1
M,1.85,88.1
M,1.58,66.2
M,1.75,87.0
M,1.81,95.2
M,1.83,91.3
M,1.83,94.7
M,1.71,82.9
M,1.73,75.5
M,1.8,87.7
M,1.66,80.9
M,1.78,93.4
M,1.82,90.4
M,1.73,87.1
M,1.74,79.5
M,1.68,77.1
M,1.82,93.1
M,1.87,88.9
M,1.81,94.4
M,1.8,92.0
M,1.82,85.5
M,1.61,73.7
M,1.73,82.9
M,1.67,71.4
M,1.74,81.0
M,1.77,84.9
M,1.75,77.8
M,1.78,91.0
M,1.75,88.0
M,1.63,70.5
M,1.79,87.3
M,1.74,72.5
M,1.77,79.9
M,1.75,77.9
M,1.71,82.4
M,1.68,77.7
M,1.74,81.3
M,1.76,85.0
M,1.77,82.6
M,1.85,97.3
M,1.91,94.6
M,1.8,86.3
M,1.89,98.5
M,1.63,70.8
M,1.81,93.6
M,1.71,80.8
M,1.89,103.8
M,1.62,79.1
M,1.75,74.5
M,1.83,96.2
M,1.74,93.4
M,1.65,75.9
M,1.76,88.5
M,1.83,94.9
M,1.71,82.7
M,1.76,86.3
M,1.62,72.7
M,1.54,58.6
M,1.79,88.7
M,1.72,84.7
M,1.9,103.2
M,1.79,89.4
M,1.83,95.1
M,1.88,95.1
M,1.8,100.0
M,1.64,76.8
M,1.74,84.3
M,1.82,87.4
M,1.7,80.3
M,1.8,90.7
M,1.66,76.5
M,1.57,56.0
M,1.59,72.7
M,1.72,89.4
M,1.77,73.5
M,1.84,91.5
M,1.79,88.4
M,1.69,73.7
M,1.81,79.7
M,1.82,95.0
M,1.86,92.7
M,1.75,95.6
M,1.68,76.8
M,1.88,101.3
M,1.76,87.5
M,1.76,78.4
M,1.8,86.9
M,1.61,71.3
M,1.77,82.9
M,1.66,68.9
M,1.78,87.7
M,1.77,84.1
M,1.81,88.6
M,1.79,79.0
M,1.67,74.7
M,1.71,74.3
M,1.67,79.3
M,1.87,96.6
M,1.72,78.4
M,1.66,78.0
M,1.81,88.9
M,1.67,79.3
M,1.67,79.2
M,1.57,63.6
M,1.88,97.8
M,1.84,97.9
M,1.79,83.6
M,1.7,76.3
M,1.67,68.7
M,1.71,84.4
M,1.78,92.2
M,1.9,101.6
M,1.64,67.3
M,1.78,94.0
M,1.82,93.1
M,1.85,95.0
M,1.86,90.3
M,1.69,74.9
M,1.69,82.0
M,1.76,91.8
M,1.73,88.6
M,1.79,83.6
M,1.77,85.5
M,1.66,71.3
M,1.76,89.2
M,1.87,94.5
M,1.67,71.8
M,1.74,83.7
M,1.79,89.8
M,1.83,92.0
M,1.82,90.3
M,1.67,70.9
M,1.62,76.3
M,1.79,91.4
M,1.67,79.2
M,1.77,89.3
M,1.74,89.7
M,1.72,75.1
M,1.91,105.6
M,1.86,87.4
M,1.77,87.2
M,1.64,71.3
M,1.72,74.2
M,1.86,93.1
M,1.69,77.8
M,1.88,94.8
M,1.8,95.1
M,1.82,93.6
M,1.67,80.4
M,1.78,96.0
M,1.57,67.8
M,1.9,99.9
M,1.82,87.3
M,1.71,74.1
M,1.8,90.6
M,1.91,99.1
M,1.86,101.2
M,1.79,98.9
M,1.71,77.7
M,1.7,66.9
M,1.77,77.1
M,1.66,73.0
M,1.74,84.0
M,1.75,80.3
M,1.73,85.7
M,1.76,72.2
M,1.74,85.3
M,1.67,68.5
M,1.76,78.2
M,1.68,75.5
M,1.8,84.5
M,1.68,85.1
M,1.65,74.3
M,1.74,89.3
M,1.77,86.0
M,1.69,85.7
M,1.76,80.4
M,1.75,83.5
M,1.87,100.4
M,1.94,98.8
M,1.81,90.3
M,1.64,74.6
M,1.69,74.1
M,1.76,85.1
M,1.61,68.2
M,1.77,91.9
M,1.74,82.4
M,1.82,93.7
M,1.77,92.5
M,1.87,105.1
M,1.73,88.5
M,1.84,90.8
M,1.8,88.6
M,1.79,85.3
M,1.75,88.3
M,1.76,89.5
M,1.71,70.9
M,1.82,94.2
M,1.75,78.0
M,1.81,98.4
M,1.78,86.4
M,1.8,93.5
M,1.74,91.2
M,1.81,93.7
M,1.66,72.1
M,1.8,94.4
M,1.77,85.2
M,1.62,76.4
M,1.79,89.3
M,1.79,93.2
M,1.71,74.6
M,1.7,75.8
M,1.74,76.7
M,1.77,83.6
M,1.59,76.3
M,1.76,83.5
M,1.7,78.1
M,1.91,99.2
M,1.78,86.0
M,1.81,89.2
M,1.77,82.4
M,1.69,79.6
M,1.8,94.7
M,1.62,73.8
M,1.79,86.8
M,1.71,87.4
M,1.81,96.8
M,1.74,85.0
M,1.81,92.3
M,1.8,86.2
M,1.81,89.5
M,1.79,87.7
M,1.89,102.8
M,1.61,84.0
M,1.74,77.7
M,1.71,79.4
M,1.8,89.0
M,1.7,88.3
M,1.72,83.7
M,1.74,81.4
M,1.74,87.4
M,1.79,89.5
M,1.7,74.5
M,1.66,75.9
M,1.78,84.3
M,1.74,88.0
M,1.8,93.4
M,1.93,106.8
M,1.73,80.3
M,1.77,90.3
M,1.77,91.0
M,1.82,97.1
M,1.8,91.5
M,1.66,65.4
M,1.8,91.9
M,1.73,83.4
M,1.79,90.5
M,1.76,79.9
M,1.82,88.4
M,1.78,92.3
M,1.69,75.6
M,1.79,94.1
M,1.59,69.3
M,1.69,66.3
M,1.66,71.1
M,1.82,95.2
M,1.76,83.4
M,1.78,91.1
M,1.67,74.5
M,1.64,70.1
M,1.74,85.9
M,1.77,80.1
M,1.71,78.6
M,1.73,84.0
M,1.77,92.4
M,1.67,82.6
M,1.86,91.5
M,1.69,80.7
M,1.76,91.9
M,1.68,84.5
M,1.71,84.1
M,1.66,79.8
M,1.85,95.1
M,1.74,81.4
M,1.68,75.0
M,1.84,89.9
M,1.72,83.9
M,1.79,90.8
M,1.81,90.5
M,1.76,91.8
M,1.78,91.6
M,1.76,89.5
M,1.61,71.2
M,1.72,83.2
M,1.86,92.1
M,1.86,88.0
M,1.8,88.7
M,1.83,97.5
M,1.83,83.5
M,1.81,87.9
M,1.68,77.2
M,1.84,93.3
M,1.73,75.4
M,1.81,90.0
M,1.67,77.0
M,1.7,72.6
M,1.83,93.0
M,1.6,67.1
M,1.77,82.1
M,1.79,98.8
M,1.73,85.9
M,1.77,79.9
M,1.58,59.1
M,1.67,72.3
M,1.8,87.1
M,1.77,82.6
M,1.71,85.4
M,1.72,87.0
M,1.69,73.8
M,1.77,89.6
M,1.65,82.8
M,1.88,90.7
M,1.73,83.6
M,1.7,75.1
M,1.75,80.1
M,1.94,103.8
M,1.75,81.8
M,1.87,102.5
M,1.77,86.1
M,1.83,91.7
M,1.79,81.2
M,1.7,75.8
M,1.68,78.3
M,1.74,81.6
M,1.69,72.6
M,1.77,80.9
M,1.68,70.1
M,1.85,94.7
M,1.64,76.9
M,1.77,82.4
M,1.79,92.5
M,1.84,83.7
M,1.73,90.6
M,1.85,93.7
M,1.79,89.2
M,1.78,86.2
M,1.75,89.3
M,1.87,100.8
M,1.73,81.7
M,1.73,80.9
M,1.82,92.0
M,1.86,100.2
M,1.77,90.1
M,1.78,92.4
M,1.68,68.1
M,1.94,103.0
M,1.8,84.7
M,1.69,77.3
M,1.68,82.7
M,1.79,85.0
M,1.66,72.0
M,1.7,79.7
M,1.87,100.1
M,1.78,88.8
M,1.77,85.7
M,1.7,69.9
M,1.75,81.4
M,1.74,78.1
M,1.79,86.4
M,1.83,94.4
M,1.8,87.0
M,1.79,89.5
M,1.72,86.0
M,1.74,94.4
M,1.76,85.6
M,1.72,85.0
M,1.81,98.8
M,1.81,91.6
M,1.8,92.8
M,1.64,65.0
M,1.71,82.6
M,1.84,91.7
M,1.78,87.5
M,1.64,72.1
M,1.89,96.8
M,1.66,73.9
M,1.85,96.2
M,1.67,70.4
M,1.75,88.3
M,1.86,95.0
M,1.77,90.0
M,1.77,81.5
M,1.82,87.4
M,1.7,81.6
M,1.72,86.4
M,1.76,89.0
M,1.75,82.0
M,1.75,84.7
M,1.69,76.1
M,1.69,81.4
M,1.75,82.3
M,1.67,73.2
M,1.59,67.9
M,1.69,73.1
M,1.71,85.0
M,1.77,79.8
M,1.89,108.2
M,1.81,94.8
M,1.8,88.4
M,1.72,74.3
M,1.7,82.8
M,1.69,79.4
M,1.7,82.0
M,1.75,78.3
M,1.83,94.2
M,1.79,88.0
M,1.76,85.2
M,1.7,73.1
M,1.96,103.7
M,1.73,80.0
M,1.7,84.8
M,1.88,99.1
M,1.77,83.7
M,1.79,90.4
M,1.68,74.7
M,1.83,87.7
M,1.68,77.6
M,1.85,98.7
M,1.77,85.3
M,1.75,80.8
M,1.62,68.9
M,1.65,65.9
M,1.65,67.0
M,1.75,83.2
M,1.78,80.9
M,1.59,69.3
M,1.7,78.8
M,1.71,81.7
M,1.83,90.9
M,1.77,77.2
M,1.66,75.6
M,1.88,88.4
M,1.55,69.3
M,1.74,93.6
M,1.62,74.7
M,1.74,82.2
M,1.65,83.9
M,1.77,95.0
M,1.81,89.5
M,1.6,67.4
M,1.8,91.3
M,1.77,90.4
M,1.7,85.5
M,1.71,80.9
M,1.76,78.7
M,1.89,99.1
M,1.69,78.6
M,1.71,84.5
M,1.68,74.9
M,1.71,92.1
M,1.73,73.3
M,1.68,74.6
M,1.67,77.5
M,1.75,77.3
M,1.79,87.3
M,1.69,75.5
M,1.82,89.1
M,1.78,83.3
M,1.74,85.0
M,1.75,80.9
M,1.87,100.9
M,1.75,86.4
M,1.86,92.6
M,1.74,87.2
M,1.65,81.4
M,1.68,87.4
M,1.72,77.0
M,1.82,87.5
M,1.76,84.2
M,1.71,85.5
M,1.77,81.5
M,1.63,73.7
M,1.71,83.2
M,1.86,100.4
M,1.72,85.7
M,1.74,87.0
M,1.8,97.2
M,1.73,82.7
M,1.72,74.4
M,1.87,90.0
M,1.75,85.0
M,1.69,79.8
M,1.78,85.6
M,1.72,91.1
M,1.89,95.2
M,1.83,91.6
M,1.77,82.9
M,1.82,93.5
M,1.71,78.0
M,1.74,77.7
M,1.98,116.0
M,1.74,81.1
M,1.78,84.5
M,1.89,100.2
M,1.83,91.7
M,1.72,87.6
M,1.69,71.3
M,1.65,82.0
M,1.76,93.7
M,1.72,81.6
M,1.73,88.0
M,1.84,92.4
M,1.88,96.0
M,1.86,91.2
M,1.85,96.3
M,1.73,76.2
M,1.78,93.9
M,1.82,84.3
M,1.74,78.4
M,1.78,83.8
M,1.7,82.7
M,1.72,85.4
M,1.72,76.5
M,1.71,78.7
M,1.7,80.8
M,1.68,79.0
M,1.72,87.1
M,1.81,86.7
M,1.78,86.0
M,1.87,95.4
M,1.69,72.3
M,1.73,86.1
M,1.73,79.9
M,1.67,80.4
M,1.7,77.3
M,1.68,75.3
M,1.86,105.3
M,1.76,93.8
M,1.82,90.9
M,1.62,74.1
M,1.83,85.7
M,1.83,94.1
M,1.73,78.7
M,1.75,86.1
M,1.71,77.1
M,1.62,72.9
M,1.82,95.7
M,1.79,87.9
M,1.85,98.6
M,1.73,80.2
M,1.77,92.2
M,1.6,75.1
M,1.82,96.0
M,1.82,91.4
M,1.81,91.0
M,1.78,86.0
M,1.79,93.7
M,1.74,78.6
M,1.81,100.3
M,1.71,77.0
M,1.86,99.7
M,1.8,83.0
M,1.83,89.8
M,1.87,98.3
M,1.77,92.2
M,1.79,84.0
M,1.68,67.3
M,1.78,87.2
M,1.8,93.7
M,1.79,82.5
M,1.82,96.5
M,1.8,88.9
M,1.69,70.4
M,1.85,94.1
M,1.69,82.5
M,1.69,74.4
M,1.69,84.1
M,1.76,80.8
M,1.74,80.9
M,1.67,73.5
M,1.78,98.6
M,1.75,86.1
M,1.8,89.5
M,1.7,80.9
M,1.74,80.8
M,1.8,83.9
M,1.6,69.7
M,1.78,100.7
M,1.72,79.6
M,1.81,90.2
M,1.78,85.9
M,1.67,75.4
M,1.82,91.9
M,1.82,99.9
M,1.81,96.8
M,1.76,77.7
M,1.78,86.9
M,1.83,91.0
M,1.82,94.7
M,1.76,78.4
M,1.81,85.7
M,1.7,85.1
M,1.93,101.8
M,1.73,77.2
M,1.76,89.5
M,1.81,88.6
M,1.79,90.0
M,1.83,89.1
M,1.85,88.6
M,1.85,97.0
M,1.82,91.3
M,1.9,103.2
M,1.71,71.2
M,1.79,87.2
M,1.66,76.9
M,1.77,89.6
M,1.82,97.9
M,1.75,78.6
M,1.65,73.9
M,1.78,94.6
M,1.8,91.6
M,1.85,104.2
M,1.83,91.9
M,1.88,103.0
M,1.67,75.5
M,1.8,84.9
M,1.73,82.1
M,1.71,79.5
M,1.8,89.7
M,1.62,75.5
M,1.7,75.5
M,1.79,84.9
M,1.79,84.4
M,1.79,93.0
M,1.76,85.9
M,1.89,95.3
M,1.7,84.5
M,1.87,93.7
M,1.75,85.8
M,1.72,76.5
M,1.6,65.4
M,1.75,85.1
M,1.77,87.8
M,1.77,84.1
M,1.76,85.4
M,1.7,75.4
M,1.81,91.8
M,1.72,86.9
M,1.69,73.5
M,1.7,79.8
M,1.77,87.7
M,1.84,87.4
M,1.76,84.4
M,1.75,89.8
M,1.66,76.1
M,1.74,90.7
M,1.83,90.7
M,1.87,98.5
M,1.79,88.1
M,1.75,86.4
M,1.87,107.4
M,1.74,82.2
M,1.63,68.8
M,1.73,77.4
M,1.8,89.5
M,1.82,90.8
M,1.71,71.9
M,1.73,84.6
M,1.66,75.6
M,1.8,92.9
M,1.71,79.2
M,1.72,81.0
M,1.74,84.1
M,1.84,88.3
M,1.66,72.4
M,1.67,73.8
M,1.76,81.7
M,1.73,78.0
M,1.82,87.0
M,1.87,99.6
M,1.71,80.0
M,1.83,97.7
M,1.74,88.1
M,1.66,75.8
M,1.68,75.3
M,1.78,98.3
M,1.69,77.7
M,1.85,92.8
M,1.9,95.1
M,1.67,85.1
M,1.69,73.7
M,1.73,83.6
M,1.77,86.8
M,1.66,70.8
M,1.69,82.2
M,1.73,91.6
M,1.75,77.2
M,1.78,87.1
M,1.81,81.0
M,1.81,84.3
M,1.74,81.9
M,1.75,80.7
M,1.7,85.1
M,1.75,89.6
M,1.74,88.5
M,1.68,83.0
M,1.64,71.2
M,1.73,78.3
M,1.64,68.1
M,1.78,92.2
M,1.69,74.5
M,1.83,84.5
M,1.64,71.8
M,1.89,101.5
M,1.81,86.2
M,1.66,71.7
M,1.73,77.6
M,1.64,70.6
M,1.77,86.9
M,1.84,103.9
M,1.69,74.8
M,1.74,80.8
M,1.77,90.5
M,1.85,95.8
M,1.76,92.1
M,1.76,84.1
M,1.67,67.7
M,1.82,97.2
M,1.69,72.7
M,1.69,81.9
M,1.79,89.4
M,1.73,84.5
M,1.67,75.1
M,1.76,91.3
M,1.85,91.3
M,1.72,86.5
M,1.78,87.6
M,1.81,96.8
M,1.82,95.2
M,1.76,82.2
M,1.73,77.4
M,1.83,104.1
M,1.81,90.6
M,1.84,91.4
M,1.53,60.8
M,1.79,86.0
M,1.82,87.6
M,1.79,84.1
M,1.86,93.8
M,1.58,79.4
M,1.75,80.1
M,1.82,95.0
M,1.79,93.3
M,1.65,70.2
M,1.73,89.1
M,1.75,79.9
M,1.8,90.2
M,1.64,68.1
M,1.8,81.3
M,1.75,84.8
M,1.66,64.7
M,1.66,74.2
M,1.78,84.1
M,1.7,76.6
M,1.71,75.0
M,1.74,74.6
M,1.72,84.4
M,1.69,75.1
M,1.78,88.0
M,1.75,87.8
M,1.8,92.7
M,1.9,100.3
M,1.69,78.6
M,1.68,77.7
M,1.7,77.1
M,1.83,92.8
M,1.73,86.4
M,1.76,81.0
M,1.79,86.1
M,1.84,90.5
M,1.76,84.3
M,1.7,75.0
M,1.79,80.5
M,1.84,85.8
M,1.79,93.6
M,1.71,90.6
M,1.87,102.6
M,1.71,79.1
M,1.88,97.7
M,1.75,79.6
M,1.62,76.2
M,1.73,84.2
M,1.72,81.6
M,1.77,86.0
M,1.74,82.7
M,1.75,82.3
M,1.77,88.3
M,1.67,79.1
M,1.68,82.1
M,1.59,74.0
M,1.71,80.6
M,1.78,82.3
M,1.72,80.7
M,1.77,86.7
M,1.77,80.4
M,1.71,72.5
M,1.73,85.3
M,1.79,94.7
M,1.8,87.1
M,1.81,99.9
M,1.74,84.6
M,1.76,89.4
M,1.64,63.6
M,1.75,81.7
M,1.73,79.8
M,1.67,76.1
M,1.72,69.4
M,1.71,73.9
M,1.68,74.2
M,1.72,86.4
M,1.68,86.9
M,1.72,79.5
M,1.75,83.5
M,1.99,103.1
M,1.79,90.0
M,1.79,87.9
M,1.72,80.2
M,1.8,84.1
M,1.72,87.4
M,1.9,94.0
M,1.74,81.3
M,1.92,102.7
M,1.8,84.5
M,1.8,92.0
M,1.94,105.9
M,1.77,87.1
M,1.77,88.4
M,1.77,89.0
M,1.67,71.5
M,1.72,83.9
M,1.74,81.4
M,1.65,71.9
M,1.74,82.8
M,1.85,93.9
M,1.68,73.3
M,1.56,68.2
M,1.73,72.6
M,1.91,101.4
M,1.69,82.8
M,1.69,81.3
M,1.72,81.2
M,1.82,95.6
M,1.75,90.9
M,1.73,84.0
M,1.88,97.5
M,1.75,88.1
M,1.87,94.0
M,1.7,76.7
M,1.76,88.5
M,1.7,83.2
M,1.83,90.8
M,1.72,79.6
M,1.62,69.8
M,1.68,78.2
M,1.87,94.7
M,1.64,73.0
M,1.7,85.7
M,1.8,88.0
M,1.71,76.5
M,1.7,79.4
M,1.64,79.9
M,1.71,76.5
M,1.73,88.2
M,1.87,103.2
M,1.68,80.1
M,1.72,80.4
M,1.67,80.8
M,1.82,95.9
M,1.66,70.6
M,1.73,87.1
M,1.91,97.2
M,1.61,74.0
M,1.65,71.1
M,1.72,74.8
M,1.84,91.6
M,1.76,89.7
M,1.65,80.2
M,1.7,85.3
M,1.7,82.6
M,1.73,79.7
M,1.79,79.9
M,1.79,93.6
M,1.77,89.7
M,1.74,80.3
M,1.71,79.0
M,1.73,79.7
M,1.72,81.8
M,1.89,100.1
M,1.75,82.5
M,1.74,85.1
M,1.75,85.4
M,1.65,74.7
